date,action,price,shares,cost,portfolio_value
2020-12-14,BUY,205.53341674804688,48.605234895920795,10.0,10000.0
2020-12-28,SELL,215.8580780029297,48.605234895920795,10.491832585514391,10491.83258551439
2021-01-20,BUY,215.26315307617188,48.64213527742383,10.481340752928876,10481.340752928876
2021-02-12,SELL,235.07766723632812,48.64213527742383,11.434679690410698,11434.679690410698
2021-04-01,BUY,233.08006286621094,48.96095198095088,11.423245010720288,11423.245010720288
2021-04-23,SELL,251.16094970703125,48.96095198095088,12.297079198095977,12297.079198095977
2021-06-16,BUY,248.10670471191406,49.4645936756487,12.284782118897882,12284.782118897881
2021-11-18,SELL,330.20703125,49.4645936756487,16.333556629623484,16333.556629623483
2021-12-16,BUY,314.36767578125,51.85299604805333,16.317223072993862,16317.22307299386
2021-12-28,SELL,330.1875915527344,51.85299604805333,17.12121587990018,17121.21587990018
2022-01-26,BUY,287.0915222167969,59.51757278451795,17.104094664020284,17104.094664020282
2022-01-31,SELL,300.8988952636719,59.51757278451795,17.908771899636633,17908.771899636635
2022-03-17,BUY,286.240478515625,62.44040799992454,17.890863127736996,17890.863127736997
2022-03-30,SELL,304.3134460449219,62.44040799992454,19.001455730907942,19001.455730907943
2022-06-28,BUY,249.2580108642578,76.07968849285683,18.982454275177034,18982.454275177035
2022-07-05,SELL,255.4486083984375,76.07968849285683,19.434450552886897,19434.450552886898
2022-07-21,BUY,257.3825378417969,75.3570978391448,19.41501610233401,19415.01610233401
2022-08-15,SELL,285.2064208984375,75.3570978391448,21.492328163995868,21492.328163995866
2022-10-18,BUY,232.2762451171875,92.3442041573147,21.47083583583187,21470.83583583187
2022-10-20,SELL,229.98757934570312,92.3442041573147,21.238019980746223,21238.019980746223
2022-11-22,BUY,239.3083953857422,88.57008607925975,21.216781960765477,21216.78196076548
2022-11-30,SELL,249.18231201171875,88.57008607925975,22.07009882430689,22070.09882430689
2022-12-06,BUY,239.39627075195312,92.00636512662719,22.04802872548258,22048.02872548258
2022-12-13,SELL,250.9207763671875,92.00636512662719,23.086308568296218,23086.30856829622
2023-01-19,BUY,226.51426696777344,101.71614947656325,23.063222259727922,23063.22225972792
2023-04-18,SELL,282.34173583984375,101.71614947656325,28.71871420615788,28718.71420615788
2023-04-20,BUY,280.1289978027344,102.31466831806873,28.689995491951723,28689.995491951722
2023-06-15,SELL,341.5682678222656,102.31466831806873,34.947444030212374,34947.44403021238
2023-08-28,BUY,318.29852294921875,109.57507363350328,34.912496586182165,34912.49658618216
2023-09-13,SELL,330.4523010253906,109.57507363350328,36.20933521721777,36209.33521721777
2023-10-03,BUY,308.16058349609375,117.26662880159242,36.173125882000555,36173.12588200055
2024-02-09,SELL,414.37176513671875,117.26662880159242,48.59197996814823,48591.97996814823
2024-04-30,BUY,384.31982421875,126.18356260641201,48.543387988180086,48543.38798818008
2024-05-22,SELL,425.7463073730469,126.18356260641201,53.722185830855594,53722.18583085559
2024-06-07,BUY,419.1502685546875,127.91306412913455,53.66846364502474,53668.463645024734
2024-08-01,SELL,412.4849853515625,127.91306412913455,52.762218383579544,52762.218383579544
2024-11-27,BUY,419.8925476074219,125.40529001782176,52.70945616519597,52709.45616519597
2025-04-16,SELL,369.6284484863281,125.40529001782176,46.35336278126547,46353.36278126547
2025-10-22,BUY,519.5675659179688,89.03693271794707,46.307009418484206,46307.0094184842
